nombre;direccion;telefono;email;descripcion;;
Pet Shop Patitas Day;Paulina 6419, La Cisterna, Metropolitana De Santiago, Chile;28330820;clinicapatitasday@hotmail.com;Alimentos para mascotas, peluquería canina, ropa y accesorios. Despacho gratis a domicilio en las comunas de La Cisterna y San Miguel;;
Consulta Veterinaria Bobby;Huancayo  local  Santiago, Chile;227862713;gustavoreyeslican@yahoo.com;Consulta Veterinaria, medicina, Esterilizaciones, Vacunas;;
Clínica Veterinaria San Pío;Av. Sur 918 Local 1, Maipú, Metropolitana De Santiago, Chile;24049837;vet.san.pio@gmail.com;;;
Kaths Peths;AV.FRANCISCO BILBAO 1934-A;;;;;
Veterinaria La Granja;Colo Colo  n° 1634, Linares, Maule, Chile;942621980;contacto@asesoriastrilad.com;Hotel para mascotas y Veterinaria clinica;;
Clínica Veterinaria Francal;Avenida Rauquen 1760, Curicó, Maule, Chile;9-9189705;francisco.homero@hotmail.com;Consulta Veterinaria, Farmacia, Distribución de Alimentos y accesorios para mascotas.;;
Kody Pet Food;Pasaje Dos n° 4404, Pedro Aguirre Cerda, Metropolitana De Santiago, Chile;956206986;kodypetfood@gmail.com;somos tienda online con despacho y envios ;;
Clínica Veterinaria Mascotilandy;Pedro De Valdivia 5461, Ñuñoa, Metropolitana De Santiago, Chile;28234850;mascotilandy@gmail.com;Clínica Veterinaria Mascotilandy es un centro de atención integral, dedicado al bienestar y salud de nuestras mascotas.;;
Bodega Zañartu;Avenida Zañartu 2558, Nuñoa (Pza Zañartu), Ñuñoa, Metropolitana De Santiago, Chile;02-3569739;bodegazanartu@vtr.net;Amplia Variedad Alimentos y Accesorios para mascotas.;;
Clínica Veterinaria Melipilla;Valdés 813, Melipilla, Metropolitana De Santiago, Chile;28324161;erika@marinkovic.cl;;;
Paola Farías;Padre Orellana 1566 Santiago, Santiago, Metropolitana De Santiago, Chile;09-3091685;paolafariasgonzalez@gmail.com;Casas de lujo para perros;;
TOTAL-PET.CL;Av. Padre Hurtado Sur 1807, Las Condes, Metropolitana De Santiago, Chile;29542683;totalpet@manquehue.net;Centro veterinario Total-Pet , mas de 8 años al cuidado de sus mascotas , Cirugias , plan de Salud , Reproduccion Canina , dermatologia , Laboratorio clinico , Farmacia y PET STORE;;
Huellas De Mascotas ;Pedro Fontova  n° 7365, Huechuraba, Metropolitana De Santiago, Chile;229055572;mishuellasdemascotas@gmail.com;Servicios de mascotas: Veterinaria, Peluqueria, Hoteleria, Guarderia, Alimentos y accesorios.;;
Clinica Veterinaria Miraflores;El Maiten 3007-3011, Miraflores Alto, Viña Del Mar, Viña Del Mar, Valparaiso, Chile;(32)2411799;clinicav.miraflores@gmail.com;;;
COMERCIALIZADORA CELESTE;SAN MARTIN n° 1117, Nacimiento, Biobío, Chile;988402341;moragam18@gmail.com;VENTA DE ALIMENTOS DE MASCOTAS E INSUMOS VARIOS;;
Clínica Veterinaria Aldea Animal;Huérfanos 1527, Local 1, Santiago, Metropolitana De Santiago, Chile;76541056;aldeaanimal@hotmail.cl;Somos una consulta veterinaria, con la mejor atención de Santiago centro, para tu mascota  y sus necesidades, contamos con Pet-shop, atención veterinaria, y peluquería canina y felina.;;
ArmoniaQi;Manuel Montt 2629, Providencia, Metropolitana De Santiago, Chile;81477117;armoniaqi@gmail.com;Terapia Floral y Reiki Para Mascotas.;;
VETSERVICE;AV. SUCRE 2680, Ñuñoa, Metropolitana De Santiago, Chile;56990894500;contacto@vetservice.cl;VETSERVICE,es una empresa joven liderada por profesional médico veterinario;;
Clínica Veterinaria Atacama Pets;LAS HERAS 344, Copiapó, Atacama, Chile;52-232374;atacamapets@gmail.com;MEDICINA INTERNA Y PREVENTIVA - CIRUGIA - HOSPITALIZACION - HOTELERIA - FARMACIA - VENTA DE ALIMENTO - PETSHOP - DOMICILIOS - URGENCIAS - PELUQUERIA.;;
American Vet Clinic;Avda. Las Tranqueras 1302, Vitacura, Metropolitana De Santiago, Chile;24536500;martinvet@vtr.net;En Clínica Veterinaria American Vet Clinic (AVC) nos preocupamos de que su mascota tenga una atención médico veterinaria de excelencia.;;
Todotrazos;Av. Francisco Bilbao 1861, Providencia, Metropolitana De Santiago, Chile;63361584;felip.garrido@gmail.com;Muralista Artístico y pintor realista de mascotas.;;
Clínica Veterinaria Dr. Pet;Padre Hurtado 1621, Las Condes, Metropolitana De Santiago, Chile;22482272;;;;
Clinica Veterinaria Tobalaba;Av. Santa Rosa 12794, Local 7, La Pintana, Metropolitana De Santiago, Chile;02-5366035;cvtobalaba@hotmail.com;Clinica Veterinaria, se realizan consultas médicas, ciujías, hospitalización, peluqúerías y domicilios;;
Yeswecan;San Lucas, Lo Barnechea, Metropolitana De Santiago, Chile;56936529205;yeswecanveterinaria@gmail.com;Veterinaria conciente, educativa y divertida en más de 2.000 m2 de áreas verdes. Tenemos todos los servicios que tu mascota necesita, atenciones veterinarias, peluquería, guarderia canina, hotel, adiestramiento, talleres y actividades para las familias dueñas de mascotas. Educamos y acercamos a las familias para promover la tenencia responsable y cuidado de sus mascotas.;;
Hotel Pet Sitter Los Angeles;Avda.Sor Vicenta 2276, Condominio El Avellano, Los Ángeles, Biobío, Chile;97936683;petsitterlosangeles@outlook.cl;Servicio a Domicilio. Cuidado de Mascotas en casa es una excelente alternativa para dejar a su regalón en su casa cuando se va de viaje o cuando no tiene tiempo. Las mascotas se sienten más seguras en la comodidad de su propia casa y están libres de estrés y exposición a enfermedades o lesiones que puede causar estar en un ambiente desconocido con muchos otros animales.;;
El Poder De La Manada;Los Guindos n° Sector 5, Melipilla, Metropolitana De Santiago, Chile;994885909;fundacion@elpoderdelamanada.org;Centro de Integración canina, especialista en problemas de desórdenes conductuales, falta de socialización, agresividad entre pares, agresividad hacia personas.;;
Centro Integral De Bienestar Animal (CIBA)-net.médica;Los Leones 2713, Providencia, Metropolitana De Santiago, Chile;24744927;netmedica@vtr.net;Clínica Veterinaira orientada al Bienestar Animal. Ofrecemos Terapia Conductual, Adiestramiento y Escuela de Socialización;;
Befoods;Av. Palmira Romano Sur 380 Lote 2, Limache, Valparaiso, Chile;(033)241-55-82;contacto@befoods.cl;Encuentra nuestros productos Drag Pharma en la quinta región ingresando a nuestra página web www.befoods.cl;;
VETAGRO'S;Las Araucarias 4435, Local 2, Villa El Indio, La Serena, La Serena, Coquimbo, Chile;85745256;vetagro.s@gmail.com;Venta de Alimento para perros, gatos, tortugas, peces, hámster y conejos. Venta de productos para la salud e higiene de mascotas. Venta de accesorios para mascotas. Venta de plantas, tierra de hoja, herramientas de jardín, frutas y verduras.;;
Pet Shop Carocas;La Fortuna 520 Local 3 , Maipú, Metropolitana De Santiago, Chile;29964381;c.caroca@live.cl;Nuestra Empresa se especializa en la venta tanto como en su local y la distribución de Alimento para Mascotas para nuestros negocios a muy buen precio.;;
Centro Haruki;Salar Surire 1245, Pudahuel, Metropolitana De Santiago, Chile;96480676;terapias.naturales.haruki@gmail.com;Ofrezco teapia de flores de bach para perritos. Las esencias de flores de Bach resultan altamente efectivas cuando se trata de controlar problemas emocionales y físicos de las mascotas producidos por diferentes cambios, ya sea un cambio de casa, alumbramiento, entre muchas otras situaciones que pueden afectar la tranquilidad del perro.;;
Rodrigo Gaete;Badajoz 100 Oficina 502;;;;;
 Metropolitana De Santiago;" Chile""";56999390016;doghousechile@yahoo.cl;Hola junto con saludarlos,me presento soy rodrigo distribuidor oficial de accesorios para mascotas de dog house,me gustaría coordinar una visita o reunión para mostrarles nuestra nueva linea de accesorios para mascotas,contamos con mas de 300 productos con la mejor calidad y al mejor precio como distribuidores, espero poder tener contacto con la persona encargada de las adquisiciones y poder coordinar una visita y mostrar nuestros productos y valores, atte.;;
Pet Shop Pet Nutrition;Av. Pedro Fontova 6935, Huechuraba, Metropolitana De Santiago, Chile;227210596/50109534;contacto@petnutrition.cl;Somos una empresa dedicada a satisfacer las necesidades de las mascotas, contamos con gran variedad de  alimentos Súper Premium y Premium,Dentro de las marcas que trabajamos se destacan Royal Canin,Eukanuba, Pro Plan y muchas más;;
TIMBER DOG;Rojas Magallanes 1869 Depto 202, La Florida, Metropolitana De Santiago, Chile;73765652;infotimberdog@gmail.com;ROPA PARA MASCOTAS, TRAJES A PEDIDOS Y DISEÑOS AJUSTABLES AL CONTORNO DE SU REGALON, DESPACHOS SIN COSTO EN SANTIAGO Y PRECIO PARA DISTRIBUIDORES;;
Clínica Veterinaria Las Condes;Gerónimo De Alderete 1567, Vitacura, Metropolitana De Santiago, Chile;22119288;registro@vetlascondes.cl;En Clínica Veterinaria Las Condes, nos preocupamos que su mascota tenga una atención médico veterinaria de excelencia.;;
Plaquitas Identificatorias Temuco;Avenida Costanera n° 01464 local  Entregas Plaza De Ar, Temuco, La Araucanía, Chile;992632574;brujiz.sa@gmail.com;Plaquitas identificatorias personalizadas para mascotas y accesorios varios para perritos y gatitos;;
PET SITTER LOS ANGELES;Avda. Sor Vicenta   n° 2276, Biobío, Chile;935179185;leddaangelica@yahoo.es;Servicio a Domicilio. Cuidado de Mascotas en casa es una excelente alternativa para dejar a su regalón en su casa cuando se va de viaje o cuando no tiene tiempo. Las mascotas se sienten más seguras en la comodidad de su propia casa y están libres de estrés y exposición a enfermedades o lesiones que puede causar estar en un ambiente desconocido con muchos otros animales.;;
Clinica Veterinaria El Llano Subercaseaux;Gran Avenida 4265,paradero 9., San Miguel, Metropolitana De Santiago, Chile;23126196;rafaelvalderrama.1@gmail.com;Medicina clínica ,cirugía,ecografía,rayos X.;;
Clínica Veterinaria Happy Animal;Av Mexico  n° 2597, Puente Alto, Metropolitana De Santiago, Chile;222651777;veterinariahappyanimal@hotmail.com;Clínica Veterinaria Happy Animal ;;
Clínica Veterinaria Nueva México;Avenida Mexico 3649, Puente Alto, Metropolitana De Santiago, Chile;27929647;hpasten@hotmail.com;DESDE 1980 33 AÑOS DE EXCELENCIA MEDICA;;
Veterinaria El Alba;Paul Harris Sur 31, Las Condes, Metropolitana De Santiago, Chile;27697261-(09)66113463;vetelalba@hotmail.com;Consultas, Vacunas, Tratamientos, Cirugías, Limpieza Dental, Peluquería de Mascotas, Hotel de Mascotas, Farmacia, Alimentos, Accesorios;;
Clínica Veterinaria Salud Mascotas;General San Martín 6, Melipilla, Metropolitana De Santiago, Chile;28310095;vetergi@hotmail.com;Otorgamos atención médica de calidad profesional y humana para su mascota . Contamos con servicio de consultas, cirugías, hospital, farmacia y venta de accesorios.;;
CEDILO;AV.CUARTO CENTENARIO 1047 LAS CONDES, Las Condes, Metropolitana De Santiago, Chile;22241712-098652643;CEDILOVET@GMAIL.COM;CONSULTA, CIRUGIAS, ENDOCRINOLOGIA, PELUQUERIA Y SPA CANINO, VENTA ALIMENTOS Y PET, HOSPITAL, DOMICILIOS;;
Amici Della Vita;Manuel Rodriguez, Isla De Maipo, Metropolitana De Santiago, Chile;79650556;ventas@amicidellavita.cl;Venta de mascotas;;
Clínica Veterinaria Los Avellanos;Sevilla 1201, Independencia, Metropolitana De Santiago, Chile;27374977;veterinarialosavellanos@gmail.com;Clinica veterinaria, Peluqueria, Venta de accesorios y alimentos, Cirugias, Domicilios, Venta de alimento de mascotas.;;
American Vet Clinic;Avda. Las Tranqueras 1302, Vitacura, Metropolitana De Santiago, Chile;24536500;martinvet@vtr.net;En Clínica Veterinaria American Vet Clinic (AVC) nos preocupamos de que su mascota tenga una atención médico veterinaria de excelencia.;;
Agropet's;MAIPU 212-E, Linares, Maule, Chile;73-213477;narvaezagro@hotmail.com;;;
Clínica Veterinaria Piedra Roja;Av. Pedro Fontova 6939, Huechuraba, Metropolitana De Santiago, Chile;5627250196;contacto@vetpiedraroja.cl;Clínica Veterinaria con servicio de hospedaje en cómodos caniles de ceramica lo que garantiza una óptima higiene. Nuestros huéspedes (caninos) durante su estadía disfrutan de paseos varias veces por día lo que disminuye los niveles de estrés. Alojamiento separado para gatos y perros.;;
Boutique Canina Mía York;Zenteno 184, Santiago, Metropolitana De Santiago, Chile;6-2048312;lacitosmiayork@gmail.com;Boutique Canina Mía York;;
Clínica Veterinaria Planeta Animal;Av. Antonio Rendic 3795, Alto Del Carmen, Atacama, Chile;55-844561;clinica@planetaanimal.cl;Servicios de medicina veterinaria, peluquería canina especializada, farmacia veterinaria, alimentos, accesorios.;;
Clínica Veterinaria E24Vet;Merced 730, Curicó, Maule, Chile;075-321530;e24vet@gmail.com;;;
Mario  Soto  Aguilera;Román Díaz 720, Providencia, Metropolitana De Santiago, Chile;28137868;mario.soto@itrconsultores.cl;Terapia laser para mascotas.;;
VETSALUD MIRAFLORES;Av. Fernando Belaunde Terry 315, Perú;947631877;vetsalud_miraflores2@hotmail.com;;;
Petfriends;Martín Henriquez  n° 4695, San Joaquín, Metropolitana De Santiago, Chile;225529166;avelasquez.petfriends@gmail.com;Fabricantes de caniles,gateras y corrales a medida.;;
Clínica Veterinaria Nueva México;Avenida Mexico 3649, Puente Alto, Metropolitana De Santiago, Chile;27929647;hpasten@hotmail.com;DESDE 1980 33 AÑOS DE EXCELENCIA MEDICA;;
Befoods;Pedro Montt 2605-2629, Valparaíso, Valparaiso, Chile;(032)221-1000;contacto@befoods.cl;Encuentra nuestros productos Drag Pharma en la quinta región ingresando a nuestra página web www.befoods.cl;;
Clínica Veterinaria Los Avellanos;Sevilla 1201, Independencia, Metropolitana De Santiago, Chile;27374977;veterinarialosavellanos@gmail.com;Clinica veterinaria, Peluqueria, Venta de accesorios y alimentos, Cirugias, Domicilios, Venta de alimento de mascotas.;;
Clinica La Rotonda;Av. Vicuña Mackenna 8469, La Florida, Metropolitana De Santiago, Chile;22814656;Veterinaria.larotonda@gmail.com;Medicina, cirugías, vacunas, Ecografia, endoscopia, farmacia, peluqueria, pet shop;;
Clínica Veterinaria Vida Animal;LA ARAUCARIAS 1309 CORONEL, Coronel, Biobío, Chile;041-2104352;vida.animal@live.com;CENTRO MEDICO VETERINARIO VIDA ANIMAL:;;
Clínica Veterinaria Mundo Animal;Av. Las Torres 4770, Peñalolén., Peñalolén, Metropolitana De Santiago, Chile;24015940;ventas@mundoanimal.cl;Clínica Veterinaria, Peluquería Canina y Felina, Medicina Complementaria (Flores de Bach, Aromaterapia, Gemoterapia), Medicina Exótica, Cirugía, Traumatología, Hospitalización, Limpieza Dental (destartraje), Radiología, Ecografía, Ecocardiografía, Urgencias y Atención a Domicilio.;;
Covepa;Chorrillos 1349, Puerto Montt, Los Lagos, Chile;(65)270100;puertomontt@covepa.cl;;;
Pet Haus Consulta Veterinaria Holística;Avda. Primera Transversal 2635 A Local 2, Maipú, Metropolitana De Santiago, Chile;22317793008-8850161;acevedo_goenaga@yahoo.com;Somos la primera y única Consulta Veterinaria Holística de Maipú con 15 años de experiencia en Homeopatía Veterinaria, Flores de Bach, Aromaterapia y Reiki para mascotas. Entre nuestros servicios tenemos cirugías, destartrajes con ultrasonido, laboratorio, farmacia homeopática y alopática, etc.;;
K-NES;Consistorial 2413, Peñalolén, Peñalolén, Metropolitana De Santiago, Chile;227101121;knesmascotas@gmail.com;Peluquería canina equipada con elementos de primera generación y calidad en un ambiente de absoluto bienestar y atendidos por personal de vasta experiencia.;;
Clinica Veterinaria VetBailly;Cumming 98, Villa Alemana, Valparaiso, Chile;322113974;vetbailly@gmail.com;Clinica Veterinaria VetBailly, consultas, cirugias, desparasitaciones, vacunas, etc.;;
Centralvet.cl;General Jofre 230 Santiago Centro, Santiago, Metropolitana De Santiago, Chile;26354001;administracion@centralvet.cl;Ofrecemos un servicio de alto nivel en dos áreas:;;
Az Servi Ltda;BALMACEDA N° 10 LOCAL A Y B RENGO, Rengo, Libertador General Bernardo O'Higgins, Chile;9-2834454;azserviltda@gmail.com;FARMACIA VETERINARIA Y PETS ....;;
El Bazar De Las Mascotas;Latadia 4219, Las Condes, Metropolitana De Santiago, Chile;56993231200;caritoo.09@gmail.com;Porque amamos a los animales al igual que tu y sabemos que no son sólo mascotas, sino que forman parte de nuestra familia, hemos creado un espacio exclusivamente dedicado para ellos, con productos novedosos que les encantaran y lo mejor de todo es que tenemos los mejores precios del mercado;;
Family Pet E.I.R.L;Avda. Bernardo O'Higgins 0240 Local F, San Fernando, Libertador General Bernardo O'Higgins, Chile;72710607;cfamilypets@gmail.com;Alimento y Accesorios para Mascotas;;
Veterinaria Mirador;Av. Vicuña Mackenna Poniente n° 6491, La Florida, Metropolitana De Santiago, Chile;56945406172;veterinariamirador@gmail.com;Veterinaria ubicada cerca del metro mirador Linea 5, entrega servicios de clínica veterinaria, peluquería canina y felina, Pet Shop, Alimentos para mascotas.;;
Clínica Veterinaria Arca Del Puerto;Vía Romana 1800, Puerto Montt, Los Lagos, Chile;65-435352;veterinariarcadelpuerto@hotmail.com;Clínica Veterinaria Arca del Puerto ofrece los siguientes servicios para el cuidado y salud de su mascota:;;
Clínica Veterinaria Los Avellanos;Sevilla 1201, Independencia, Metropolitana De Santiago, Chile;27374977;veterinarialosavellanos@gmail.com;Clinica veterinaria, Peluqueria, Venta de accesorios y alimentos, Cirugias, Domicilios, Venta de alimento de mascotas.;;
Cat Y Can Veterinaria;Cerro Huemul, Maipú, Metropolitana De Santiago, Chile;27041147;vetcatycan@gmail.com;Mas de 7 años no avalan. En nuestra veterinaria encontraras todo lo que tu mascota necesita. Consultas, Ecografia, Radiografia, Laboratorio, etc. Peluquería y Farmacia veterinaria.;;
Veterinaria Bio Vet;Santa Florencia 1800, Local E, La Florida, Metropolitana De Santiago, Chile;27106821;veterinaria@veterinariabiovet.cl;;;
Katherine Castro Araya;Miguel Rubio  n° 1161, Maipú, Metropolitana De Santiago, Chile;56936214645;contacto@donperropet.cl;Venta de alimentos para mascotas y afines;;
Pet Shop Loreto Brossard;Progreso 588 Peñaflor, Peñaflor, Metropolitana De Santiago, Chile;50171111;confeccionesbrossard@gmail.com;soy emprendedora , en el rubro de confeccion de accesorios para  mascotas, bolsos de traslado,pañoletas,vestidos,polerones,organizadores de utensilios,etc;;
Clínica Veterinaria  Heyne;San Ignacio De Loyola 1205, Santiago, Metropolitana De Santiago, Chile;25558828-25544791;clinicaheyne@gmail.com;Clinica Veterinaria especializada en Terapias Naturales y Medicina Complementaria para mascotas. Acupuntura Veterinaria-Homeopatía- Flores de Bach- Biomagnetismo-Reiki-Fitoterapia.;;
Befoods;Pedro Montt 2605-2629, Valparaíso, Valparaiso, Chile;(032)221-1000;contacto@befoods.cl;Encuentra nuestros productos Drag Pharma en la quinta región ingresando a nuestra página web www.befoods.cl;;
Familia Casanga Sáez;Valparaíso n° 2265, Valparaíso, Valparaiso, Chile;64698980;jandra7@yahoo.com;Sales este fin de semana y no puedes llevar al regalón? No te preocupes!!!;;
Clínica Veterinaria E24Vet;Merced 730, Curicó, Maule, Chile;075-321530;e24vet@gmail.com;;;
Hotel Vet-Aike;HUERTO 125, Magallanes Y De La Antártica Chilena, Chile;9-96024932;INFORMACION@VETAIKE.CL;HOTEL CANINO, DA HOSPEDAJE A PERROS. TENEMOS CANILES INDIVIDUALES, AMPLIOS, CADA UNO CON SU ESPACIO RECREACIONAL. ASIMISMO CUENTA CON AMPLIAS ZONAS DE JUEGOS Y EJERCICIOS.;;
Clínica Veterinaria Club Mascotas;Av. Clotario Blest 4688, Pedro Aguirre Cerda, Metropolitana De Santiago, Chile;7-9936984;vet.clubmascota@gmail.com;Clínica Veterinaria y peluqueria canina.;;
Clínica Veterinaria Integral Pukipet´s;El Cactus 18794, Ciudad Satélite, Maipu, Chile, Maipú, Metropolitana De Santiago, Chile;24015705;contacto@centropukipets.cl;Centro Veterinario Integral Pukipet´s es una joven  empresa, cuyo propósito es prevenir, diagnosticar, entregar tratamiento y sanar a su mascota,  otorgando una atención inmediata y profesional.;;
Pet Shop Alimento Mascotas A Domicilio ;Isabel Riquelme Norte 3488, Maipú, Maipú, Metropolitana De Santiago, Chile;56976950367;odre@live.cl;"Pyme familiar ""Vamos a su Hogar"" dedicada a la venta y despacho a domicilio de alimento para mascotas en Maipú, exclusividad sector La Farfana y alrededores.";;
Az Servi Ltda;BALMACEDA N° 10 LOCAL A Y B RENGO, Rengo, Libertador General Bernardo O'Higgins, Chile;9-2834454;azserviltda@gmail.com;FARMACIA VETERINARIA Y PETS ....;;
Clínica Veterinaria Servi - Can;Pedro Aguirre Cerda 9517, Antofagasta, Antofagasta, Chile;55234192;veterinariaservi-can@hotmail.com;Clinica Veterinaria integrala.;;
Clínica Veterinaria Salvet;AVENIDA PORTALES 205, LOCAL 5, Maipú, Metropolitana De Santiago, Chile;24192296;andresvet@gmail.com;#¿NOMBRE?;;
Cuidado Mascotas Y Guarderia Animalitos Pequeños;Libertad 486, Santiago, Metropolitana De Santiago, Chile;26816177;guarderianimalitos@gmail.com;Ofrezco mi tiempo y mi casa para GUARDERIA DE ANIMALES PEQUEÑOS tales como:;;
Clínica Veterinaria Bicharrakos;Eulalio Henriquez 128, Panguipulli, Los Ríos, Chile;68107515;loretortegar@gmail.com;Atención veterinaria a mascotas, cirugía,ecografia, corte de pelo, venta de accesorios. Trato familiar para todos nuestros pacientes. .;;
AnimalsMonkfish;Pasaje Almirante Latorre 2314, Villa Rinconada Oriente., Maipú, Metropolitana De Santiago, Chile;8-3654772;animals.monkfish@gmail.com;Corte de Pelo según raza de su Mascota;;
Pet Shop Animal World;AVENIDA LA MONTAÑA 2528, LOCAL 6, VALLE GRANDE, Lampa, Metropolitana De Santiago, Chile;02-7386788/02-9177727;veterinaria.petsanimal@gmail.com;CONTAMOS CON UN SERVICIO INTEGRAL PARA SU MASCOTA, VETERINARIA, CIRUGIAS, MEDICAMENTOS, ACCESORIOS, PELUQUERIA Y TODAS LAS MARCAS DE ALIMENTOS.;;
REPOSERAS PARA PERROS PETCANIS;Gerónimo De Alderete 623, Las Condes, Metropolitana De Santiago, Chile;68011904;pfuenzalidab@gmail.com;REPOSERAS Y ARTÍCULOS DE PERROS;;
Amigo's Pet Shop;Lolco 7680 Torre 5 Local 5, Las Condes, Metropolitana De Santiago, Chile;87653006;amigospetshop@outlook.com;Venta por menor de alimentos y accesorios de mascotas y pronto mucho más. Siguenos en facebook y twitter.;;
Von Dittmar;Flamarión 01127, Quilpué, Valparaiso, Chile;99663474;naska.reload@gmail.com;Criadero familiar con 12 años orientado a criar los mejores cachorros inscritos tanto en estructura como en carácter. ;;
Az Servi Ltda;BALMACEDA N° 10 LOCAL A Y B RENGO, Rengo, Libertador General Bernardo O'Higgins, Chile;9-2834454;azserviltda@gmail.com;FARMACIA VETERINARIA Y PETS ....;;
ARF;AVDA VITACURA  7773, Metropolitana De Santiago, Chile;22478718;pablonunezdiaz@gmail.com;Atendemos su pedido solo con productos sellados y almacenados en nuestro local, no compre a ambulantes.;;
TAXI CANINO -TRNASPORTE PARA MASCOTAS;DITTBORN 2234, Ñuñoa, Metropolitana De Santiago, Chile;8-6193546;TAXI.CANINO@HOTMAIL.COM;Taxi Canino, Transporte para mascotas;;
Pet Shop Lindas Mascotas;Monja Alferez Pasaje Uno 5419 Dpto B Primer Piso,;;;;;
Clínica Veterinaria Las Condes;Gerónimo De Alderete 1567, Las Condes, Metropolitana De Santiago, Chile;22119288;juanpablo@kontactoglobal.com;Clínica Veterinaria Las Condes, excelencia médica y urgencia 24 horas. Desde 1970 entregando los mejores servicios veterinarios. Laboratorio, peluquería, hotel, alimentos y accesorios.;;
Clínica Veterinaria San Francisco De Asís 2;Av. Parque Sur #18484, Ciudad Satélite, Maipú, Maipú, Metropolitana De Santiago, Chile;29340102;sanfranciscodeasis2@gmail.com;Centro Veterinario;;
Pet Shops Concepto Animal;Av. Eliodoro Yañez 2463;;;;;
Clinica Veterinaria Animal Care;Camino Guay Guay 1, Chicureo, Colina, Metropolitana De Santiago, Chile;29483090;contacto@clinicanimalcare.cl;;;
Pet Shop Mi  Mascota;Matucana 521, Parral, Maule, Chile;87683437;m.mimascota@gmail.com;;;
Clínica Veterinaria Los Avellanos;Sevilla 1201, Independencia, Metropolitana De Santiago, Chile;27374977;veterinarialosavellanos@gmail.com;Clinica veterinaria, Peluqueria, Venta de accesorios y alimentos, Cirugias, Domicilios, Venta de alimento de mascotas.;;
Clínica Veterinaria Animalia;Tadeo Hancke 1200 B. Playa Cavancha, Iquique, Tarapacá, Chile;057/218737;animaliavets@gmail.com;;;
COMERCIALIZADORA CELESTE;SAN MARTIN n° 1117, Nacimiento, Biobío, Chile;988402341;moragam18@gmail.com;VENTA DE ALIMENTOS DE MASCOTAS E INSUMOS VARIOS;;
Criadero Von Fersen;San Luis 70, Metropolitana De Santiago, Chile;22598714/08-9381438;schnauzer_molly@yahoo.com;Especializados en la crianza familiar de Schnauzer miniatura y schnauzer gigante.;;
Pet Shop Petjessy.cl;Cueto 1322, Santiago, Metropolitana De Santiago, Chile;81218213;JEZZU@HOTMAIL.COM;ARNES PARA MASCOTAS RAZAS PEQUEÑAS,GATOS ,PERROS,CONEJOS ETC;;
Covepa;Av. Gramado S/n, Puerto Varas, Los Lagos, Chile;(65)522317;puertovaras@covepa.cl;;;
Pet Shop Martin Mascotin;9 De Enero 02984, Pueblo De Lo Espejo, Lo Espejo, Metropolitana De Santiago, Chile;27026419;negra198541@gmail.com;;;
Todotrazos;Av. Francisco Bilbao 1861, Providencia, Metropolitana De Santiago, Chile;63361584;felip.garrido@gmail.com;Muralista Artístico y pintor realista de mascotas.;;
Pet Shop Fashion Show Santiago;Monjitas 606, Santiago, Santiago, Metropolitana De Santiago, Chile;26385316;contacto@petfashionshow.cl;Pet Shop, Peluquería Canina y Estética Felina. Venta de Ropa, alimentos, accesorios para mascotas en Barrio Bellas Artes con un muy buen servicio y agradable ambiente.;;
Criadero Familiar Delibull;Avda. Gral José San Martín 3293.;;;;;
Cachorros ClauxQuin;Lumbrera  n° Parcela 4 Lote 10 local  Parcela 4 Lote 10  , Melipilla, Metropolitana De Santiago, Chile;961213749;cachorrosclauxquin@gmail.com;somos un pequeño criadero familiar .;;
Pet Shop Pet Lover;Cobija 2357, Villa Ascotan., Calama, Antofagasta, Chile;77164300;petlover.calama@gmail.com;Artículos y comida para mascotas. Baño de mascotas y paseo de perros.;;
Criadero Familiar Delibull;Avda. Gral José San Martín 3293.;;;;;
Centro Veterinario PuntoVet;Santo Domingo 220, San Felipe, Valparaiso, Chile;(034)410606;contacto@puntovet.cl;;;
Clínica Veterinaria Servi - Can;Pedro Aguirre Cerda 9517, Antofagasta, Antofagasta, Chile;55234192;veterinariaservi-can@hotmail.com;Clinica Veterinaria integrala.;;
Clinica Veterinaria Entre Perros Y Gatos;Av. Las Parcelas 4815, Estación Central, Metropolitana De Santiago, Chile;24198900;entreperros_gatos@yahoo.com;Atencion clinica y hospital veterinario durante las 24 horas todos los dias de la semana;;
Pet Shop Scot;Pasaje Calisama 6637, Villa Los Libertadores. Huechuraba, Huechuraba, Metropolitana De Santiago, Chile;51047119;cmess277@gmail.com;;;
Dra. Triviño;Unión Literaria 1874, Ñuñoa;;;;;
Criadero Susana;Molina 220, Casa 27, Limache., Limache, Valparaiso, Chile;96753894;susyinos73@hotmail.com;Vendo lindos cachorros DACHSHUND miniatura pelo corto color negro fuego nacidos el 31 de enero disponible 3 machos y 1 hembra.;;
Clínica Veterinaria Mundo Animal;Av. Las Torres 4770, Peñalolén., Peñalolén, Metropolitana De Santiago, Chile;24015940;ventas@mundoanimal.cl;Clínica Veterinaria, Peluquería Canina y Felina, Medicina Complementaria (Flores de Bach, Aromaterapia, Gemoterapia), Medicina Exótica, Cirugía, Traumatología, Hospitalización, Limpieza Dental (destartraje), Radiología, Ecografía, Ecocardiografía, Urgencias y Atención a Domicilio.;;
